"V1" "V4"
"ENSG00000120885" 10
"ENSG00000105278" 30
"ENSG00000101825" 84
"ENSG00000150347" 24
"ENSG00000163608" 9
"ENSG00000184908" 11
"ENSG00000129103" 4
"ENSG00000165832" 4
"ENSG00000256525" 9
"ENSG00000025796" 13
"ENSG00000197498" 11
"ENSG00000110756" 17
"ENSG00000150051" 18
"ENSG00000114209" 5
"ENSG00000169239" 4
"ENSG00000172922" 4
"ENSG00000147613" 15
"ENSG00000101236" 1
"ENSG00000131771" 6
"ENSG00000164023" 10
"ENSG00000129055" 1
"ENSG00000169116" 12
"ENSG00000124177" 51
"ENSG00000124203" 97
"ENSG00000185432" 5
"ENSG00000111875" 4
"ENSG00000166016" 13
"ENSG00000137207" 4
"ENSG00000115540" 6
"ENSG00000197601" 11
"ENSG00000157600" 3
"ENSG00000101751" 15
"ENSG00000183765" 10
"ENSG00000184564" 40
"ENSG00000129455" 11
"ENSG00000147905" 15
"ENSG00000138131" 11
"ENSG00000223547" 15
"ENSG00000197054" 10
"ENSG00000205356" 32
"ENSG00000251247" 16
"ENSG00000198876" 7
"ENSG00000114098" 13
"ENSG00000174744" 3
"ENSG00000109794" 19
"ENSG00000168928" 3
"ENSG00000064703" 9
"ENSG00000183479" 3
"ENSG00000165259" 20
"ENSG00000155008" 2
"ENSG00000111432" 21
"ENSG00000170776" 36
"ENSG00000115459" 8
"ENSG00000090376" 18
"ENSG00000125630" 14
"ENSG00000267106" 1
"ENSG00000108599" 5
"ENSG00000023516" 35
"ENSG00000101082" 9
"ENSG00000181733" 21
"ENSG00000182240" 10
"ENSG00000100348" 2
"ENSG00000153558" 5
"ENSG00000101292" 27
"ENSG00000198792" 7
"ENSG00000182652" 19
"ENSG00000141946" 30
"ENSG00000170909" 4
"ENSG00000166233" 4
"ENSG00000267795" 2
"ENSG00000197587" 16
"ENSG00000137094" 6
"ENSG00000135297" 14
"ENSG00000126432" 2
"ENSG00000162654" 9
"ENSG00000176299" 18
"ENSG00000154451" 19
"ENSG00000122085" 5
"ENSG00000132773" 7
"ENSG00000174788" 2
"ENSG00000167964" 2
"ENSG00000164190" 46
"ENSG00000127720" 20
"ENSG00000103051" 9
"ENSG00000183576" 12
"ENSG00000234696" 1
"ENSG00000181029" 4
"ENSG00000092148" 36
"ENSG00000130540" 6
"ENSG00000137709" 7
"ENSG00000270629" 3
"ENSG00000182050" 32
"ENSG00000265817" 2
"ENSG00000163534" 26
"ENSG00000160856" 43
"ENSG00000116212" 7
"ENSG00000185900" 4
"ENSG00000090686" 21
"ENSG00000130520" 1
"ENSG00000124664" 4
"ENSG00000116035" 9
"ENSG00000095739" 7
"ENSG00000100263" 6
"ENSG00000186889" 3
"ENSG00000100271" 9
"ENSG00000141424" 14
"ENSG00000163431" 11
"ENSG00000115271" 4
"ENSG00000204022" 4
"ENSG00000125900" 8
"ENSG00000130638" 9
"ENSG00000145779" 3
"ENSG00000151014" 4
"ENSG00000167754" 13
"ENSG00000153237" 20
"ENSG00000196436" 8
"ENSG00000198369" 10
"ENSG00000100347" 11
"ENSG00000233232" 1
"ENSG00000164849" 6
"ENSG00000125875" 8
"ENSG00000178252" 15
"ENSG00000243335" 4
"ENSG00000160326" 9
"ENSG00000118094" 8
"ENSG00000104814" 26
"ENSG00000012983" 9
"ENSG00000068028" 2
"ENSG00000241644" 11
"ENSG00000010327" 53
"ENSG00000132294" 21
"ENSG00000137815" 6
"ENSG00000116704" 9
"ENSG00000151962" 17
"ENSG00000221933" 17
"ENSG00000152672" 19
"ENSG00000145506" 13
"ENSG00000158109" 4
"ENSG00000156671" 9
"ENSG00000163811" 11
"ENSG00000139800" 12
"ENSG00000071189" 19
"ENSG00000147082" 31
"ENSG00000144741" 6
"ENSG00000138834" 26
"ENSG00000158715" 6
"ENSG00000125447" 2
"ENSG00000131941" 13
